event_id,rank,compute_type,start_time_ms,end_time_ms,duration_ms,layer_id,flop_count,tflops,memory_accessed_bytes,pipeline_stage,dp_group,tp_rank
fwd_l7_r32,32,forward,23.434635112481118,26.66073961815437,3.226104505673254,7,412316860416,0.412316860416,335544320,0,2,0
fwd_l7_r33,33,forward,23.434635112481118,26.66073961815437,3.226104505673254,7,412316860416,0.412316860416,335544320,0,2,1
fwd_l7_r34,34,forward,23.434635112481118,26.66073961815437,3.226104505673254,7,412316860416,0.412316860416,335544320,0,2,2
fwd_l7_r35,35,forward,23.434635112481118,26.66073961815437,3.226104505673254,7,412316860416,0.412316860416,335544320,0,2,3
embed_fwd_l-1_r48,48,embedding,0.0,0.07005761205103324,0.07005761205103324,-1,33554432,3.3554432e-05,136478720,0,3,0
embed_fwd_l-1_r49,49,embedding,0.0,0.07005761205103324,0.07005761205103324,-1,33554432,3.3554432e-05,136478720,0,3,1
embed_fwd_l-1_r50,50,embedding,0.0,0.07005761205103324,0.07005761205103324,-1,33554432,3.3554432e-05,136478720,0,3,2
embed_fwd_l-1_r51,51,embedding,0.0,0.07005761205103324,0.07005761205103324,-1,33554432,3.3554432e-05,136478720,0,3,3
fwd_l0_r48,48,forward,0.07005761205103324,3.2900092296619943,3.219951617610961,0,412316860416,0.412316860416,335544320,0,3,0
fwd_l0_r49,49,forward,0.07005761205103324,3.2900092296619943,3.219951617610961,0,412316860416,0.412316860416,335544320,0,3,1
fwd_l0_r50,50,forward,0.07005761205103324,3.2900092296619943,3.219951617610961,0,412316860416,0.412316860416,335544320,0,3,2
fwd_l0_r51,51,forward,0.07005761205103324,3.2900092296619943,3.219951617610961,0,412316860416,0.412316860416,335544320,0,3,3
fwd_l1_r48,48,forward,3.2900092296619943,6.749126747275238,3.4591175176132434,1,412316860416,0.412316860416,335544320,0,3,0
fwd_l1_r49,49,forward,3.2900092296619943,6.749126747275238,3.4591175176132434,1,412316860416,0.412316860416,335544320,0,3,1
fwd_l1_r50,50,forward,3.2900092296619943,6.749126747275238,3.4591175176132434,1,412316860416,0.412316860416,335544320,0,3,2
fwd_l1_r51,51,forward,3.2900092296619943,6.749126747275238,3.4591175176132434,1,412316860416,0.412316860416,335544320,0,3,3
fwd_l2_r48,48,forward,6.749126747275238,10.091536349424427,3.342409602149189,2,412316860416,0.412316860416,335544320,0,3,0
fwd_l2_r49,49,forward,6.749126747275238,10.091536349424427,3.342409602149189,2,412316860416,0.412316860416,335544320,0,3,1
